State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People
CO,ADAMS,2020,15577.0,520411.0,23.0,123.0,21.0,102.0,677.2608695652174,126.64227642276423,0.4419583752072881,2.3635165282824535,299.32111350451856
CO,ADAMS,2021,28081.0,523159.0,37.0,151.0,27.0,124.0,758.9459459459459,185.96688741721854,0.7072419665914186,2.886311809602817,536.7584233473954
CO,ADAMS,2022,41579.0,528035.0,62.0,207.0,37.0,170.0,670.6290322580645,200.8647342995169,1.174164591362315,3.920194684064503,787.428863616995
CO,ADAMS,2023,64171.0,537158.0,80.0,260.0,63.0,197.0,802.1375,246.81153846153848,1.48931971598673,4.840289076956873,1194.6391936823056
CO,ADAMS,2024,109587.0,549257.0,99.0,304.0,71.0,233.0,1106.939393939394,360.48355263157896,1.8024349257269368,5.534749670919078,1995.1862242993718
CO,ALAMOSA,2020,109.0,16377.0,3.0,6.0,0.0,6.0,36.333333333333336,18.166666666666668,1.8318373328448434,3.663674665689687,66.55675642669598
CO,ALAMOSA,2021,275.0,16584.0,6.0,10.0,2.0,8.0,45.833333333333336,27.5,3.61794500723589,6.02990834539315,165.82247949831162
CO,ALAMOSA,2022,433.0,16630.0,6.0,10.0,2.0,8.0,72.16666666666667,43.3,3.607937462417318,6.013229104028864,260.3728202044498
CO,ALAMOSA,2023,612.0,16695.0,10.0,22.0,12.0,10.0,61.2,27.818181818181817,5.989817310572028,13.177598083258461,366.5768194070081
CO,ALAMOSA,2024,911.0,16691.0,10.0,22.0,12.0,10.0,91.1,41.40909090909091,5.991252770954406,13.180756096099694,545.8031274339464
CO,ARAPAHOE,2020,42895.0,655269.0,32.0,81.0,17.0,64.0,1340.46875,529.5679012345679,0.4883490596991465,1.2361335573634644,654.6166536185901
CO,ARAPAHOE,2021,62173.0,657020.0,73.0,206.0,34.0,172.0,851.6849315068494,301.81067961165047,1.111077288362607,3.1353687863383155,946.2877842379228
CO,ARAPAHOE,2022,90859.0,659472.0,85.0,242.0,44.0,198.0,1068.929411764706,375.4504132231405,1.2889099158114372,3.669602348545503,1377.753718126016
CO,ARAPAHOE,2023,134224.0,665778.0,117.0,332.0,60.0,272.0,1147.2136752136753,404.28915662650604,1.7573425376026244,4.986647200718558,2016.0473911724328
CO,ARAPAHOE,2024,216557.0,675760.0,142.0,383.0,72.0,311.0,1525.0492957746478,565.4229765013055,2.1013377530484196,5.66769267195454,3204.643660471173
CO,ARCHULETA,2020,162.0,13426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,120.66140324743036
CO,ARCHULETA,2021,446.0,13808.0,4.0,7.0,1.0,6.0,111.5,63.714285714285715,2.8968713789107765,5.069524913093859,323.0011587485516
CO,ARCHULETA,2022,618.0,13975.0,4.0,7.0,1.0,6.0,154.5,88.28571428571429,2.862254025044723,5.008944543828265,442.2182468694097
CO,ARCHULETA,2023,1107.0,14156.0,5.0,8.0,2.0,6.0,221.4,138.375,3.532071206555524,5.651313930488839,782.0005651313929
CO,ARCHULETA,2024,1477.0,14134.0,7.0,12.0,2.0,10.0,211.0,123.08333333333333,4.952596575633224,8.490165558228385,1044.9978774586104
CO,BACA,2020,0.0,14134.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
CO,BACA,2021,27.0,3491.0,0.0,0.0,0.0,0.0,,,0.0,0.0,77.34173589229447
CO,BACA,2022,13.0,3430.0,0.0,0.0,0.0,0.0,,,0.0,0.0,37.90087463556851
CO,BACA,2023,25.0,3375.0,0.0,0.0,0.0,0.0,,,0.0,0.0,74.07407407407408
CO,BACA,2024,94.0,3386.0,0.0,0.0,0.0,0.0,,,0.0,0.0,277.61370348493796
CO,BENT,2020,24.0,5472.0,0.0,0.0,0.0,0.0,,,0.0,0.0,43.859649122807014
CO,BENT,2021,65.0,5336.0,0.0,0.0,0.0,0.0,,,0.0,0.0,121.81409295352323
CO,BENT,2022,55.0,5428.0,1.0,1.0,0.0,1.0,55.0,55.0,1.8422991893883567,1.8422991893883567,101.32645541635961
CO,BENT,2023,71.0,5711.0,1.0,1.0,0.0,1.0,71.0,71.0,1.751006828926633,1.751006828926633,124.32148485379093
CO,BENT,2024,98.0,5745.0,1.0,1.0,0.0,1.0,98.0,98.0,1.7406440382941688,1.7406440382941688,170.58311575282855
CO,BOULDER,2020,67328.0,330982.0,83.0,217.0,29.0,188.0,811.1807228915662,310.2672811059908,2.507689239898242,6.556247771782152,2034.1891704080583
CO,BOULDER,2021,90501.0,327325.0,170.0,404.0,46.0,358.0,532.3588235294118,224.01237623762376,5.193614908729856,12.342473077216834,2764.866722676239
CO,BOULDER,2022,113505.0,327914.0,228.0,530.0,53.0,477.0,497.82894736842104,214.16037735849056,6.953042566038657,16.16277438596705,3461.4258616588495
CO,BOULDER,2023,150566.0,327945.0,261.0,613.0,69.0,544.0,576.8812260536398,245.6215334420881,7.958651603165165,18.69215874613121,4591.196694567687
CO,BOULDER,2024,220396.0,329485.0,291.0,691.0,85.0,606.0,757.3745704467354,318.9522431259045,8.831965036344599,20.972123161904182,6689.105725602076
CO,BROOMFIELD,2020,9893.0,74482.0,5.0,11.0,0.0,11.0,1978.6,899.3636363636364,0.6713031336430278,1.4768668940146612,1328.240380226095
CO,BROOMFIELD,2021,13945.0,75413.0,10.0,21.0,0.0,21.0,1394.5,664.047619047619,1.3260313208597987,2.7846657738055773,1849.1506769389894
CO,BROOMFIELD,2022,20147.0,76133.0,17.0,37.0,4.0,33.0,1185.1176470588234,544.5135135135135,2.2329344699407616,4.859916199282834,2646.290045052737
CO,BROOMFIELD,2023,31156.0,76972.0,31.0,71.0,12.0,59.0,1005.0322580645161,438.8169014084507,4.027438549082784,9.224133451125084,4047.7056592007484
CO,BROOMFIELD,2024,45746.0,78403.0,39.0,86.0,12.0,74.0,1172.974358974359,531.9302325581396,4.9742994528270605,10.968968024182749,5834.725712026325
CO,CHAFFEE,2020,555.0,19486.0,9.0,23.0,9.0,14.0,61.666666666666664,24.130434782608695,4.618700605562968,11.803345991994252,284.81987067638306
CO,CHAFFEE,2021,823.0,19731.0,15.0,35.0,9.0,26.0,54.86666666666667,23.514285714285716,7.60225026607876,17.73858395418377,417.11013126552126
CO,CHAFFEE,2022,1665.0,20252.0,17.0,43.0,13.0,30.0,97.94117647058823,38.72093023255814,8.394232668378432,21.23247086707486,822.1410231088287
CO,CHAFFEE,2023,2770.0,20596.0,19.0,45.0,15.0,30.0,145.78947368421052,61.55555555555556,9.22509225092251,21.84890269955331,1344.9213439502817
CO,CHAFFEE,2024,4556.0,20796.0,19.0,45.0,15.0,30.0,239.78947368421052,101.24444444444444,9.136372379303712,21.63877668782458,2190.8059242161953
CO,CHEYENNE,2020,0.0,20796.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
CO,CHEYENNE,2021,26.0,1718.0,0.0,0.0,0.0,0.0,,,0.0,0.0,151.33876600698486
CO,CHEYENNE,2022,124.0,1729.0,0.0,0.0,0.0,0.0,,,0.0,0.0,717.1775592828225
CO,CHEYENNE,2023,128.0,1718.0,0.0,0.0,0.0,0.0,,,0.0,0.0,745.0523864959255
